switch,mac,ip,vlan,interface
sw100:09:BB:3D:D6:58,10.1.10.2,10,FastEthernet0/1
sw100:04:A3:3E:5B:69,10.1.5.2,5,FastEthernet0/10
sw100:05:B3:7E:9B:60,10.1.5.4,5,FastEthernet0/9
sw100:07:BC:3F:A6:50,10.1.10.6,10,FastEthernet0/3
sw100:09:BC:3F:A6:50,192.168.100.100,1,FastEthernet0/7
sw200:A9:BB:3D:D6:58,10.1.10.20,10,FastEthernet0/7
sw200:B4:A3:3E:5B:69,10.1.5.20,5,FastEthernet0/5
sw200:C5:B3:7E:9B:60,10.1.5.40,5,FastEthernet0/9
sw200:A9:BC:3F:A6:50,10.1.10.60,20,FastEthernet0/2
sw300:E9:BC:3F:A6:50,100.1.1.6,3,FastEthernet0/20
sw300:E9:22:11:A6:50,100.1.1.7,3,FastEthernet0/21
